[2017-07-17 11:10:13.202] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:10:25.208] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:10:37.222] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:10:49.234] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:11:01.239] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:11:13.248] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:11:25.253] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:11:37.259] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:11:49.261] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:12:01.265] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:12:13.270] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:12:25.273] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:12:37.278] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:12:49.288] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:13:01.294] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:13:13.299] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:13:25.310] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:13:37.314] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:13:49.328] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:14:01.340] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:14:13.344] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:14:25.354] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:14:37.368] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:14:49.377] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:15:01.390] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:15:13.398] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:15:25.411] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:15:37.423] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:15:49.434] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:16:01.438] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:16:13.444] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:16:25.453] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:16:37.467] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:16:49.477] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:17:01.485] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:17:13.490] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:17:25.499] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:17:37.504] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:17:49.517] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:18:01.530] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:18:13.544] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:18:25.545] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:18:37.546] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:18:49.549] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:19:01.562] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:19:13.565] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:19:25.578] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:19:37.590] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:19:49.604] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:20:01.615] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:20:13.622] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:20:25.631] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:20:37.640] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:20:49.646] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:21:01.655] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:21:13.669] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:21:25.678] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:21:37.691] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:21:49.699] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:22:01.713] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:22:13.714] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:22:25.718] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:22:37.723] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:22:49.729] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:23:01.737] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:23:13.750] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:23:25.762] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:23:37.773] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:23:49.779] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:24:01.788] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:24:13.802] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:24:25.813] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:24:37.824] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:24:49.834] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:25:01.845] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:25:13.850] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:25:25.859] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:25:37.872] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:25:49.879] [INFO] normal - Currently, connection number is: 2
